Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,432826,0,0,360,1,Urban,Y
LP001003,Male,Yes,1,Graduate,No,339142,111592,9472,360,1,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,222000,0,4884,360,1,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,191142,174492,8880,360,1,Urban,Y
LP001008,Male,No,0,Graduate,No,444000,0,10434,360,1,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,400858,310504,19758,360,1,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,172642,112184,7030,360,1,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,224664,185296,11692,360,0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,296444,112924,12432,360,1,Urban,Y
LP001020,Male,Yes,1,Graduate,No,950234,811632,25826,360,1,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,236800,51800,5180,360,1,Urban,Y
LP001027,Male,Yes,2,Graduate,,185000,136160,8066,360,1,Urban,Y
LP001028,Male,Yes,2,Graduate,No,227402,599844,14800,360,1,Urban,Y
LP001029,Male,No,0,Graduate,No,137122,210160,8436,360,1,Rural,N
LP001030,Male,Yes,2,Graduate,No,96126,80364,1258,120,1,Urban,Y
LP001032,Male,No,0,Graduate,No,366300,0,9250,360,1,Urban,Y
LP001034,Male,No,1,Not Graduate,No,266104,0,7400,240,,Urban,Y
LP001036,Female,No,0,Graduate,No,259740,0,5624,360,0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,361638,0,9842,360,1,Rural,N
LP001041,Male,Yes,0,Graduate,,192400,259000,8510,,1,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,566840,0,7696,360,0,Urban,N
LP001046,Male,Yes,1,Graduate,No,440670,416250,23310,360,1,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,192400,141414,8584,360,0,Semiurban,N
LP001050,,Yes,2,Not Graduate,No,249010,141858,8288,360,0,Rural,N
LP001052,Male,Yes,1,Graduate,,275058,216450,11174,360,,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,707440,0,14134,360,1,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,207126,166722,9028,360,1,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,312724,76960,8140,360,1,Urban,Y
LP001086,Male,No,0,Not Graduate,No,106708,0,2590,360,1,Urban,N
LP001087,Female,No,2,Graduate,,277500,154142,8880,360,1,Semiurban,Y
LP001091,Male,Yes,1,Graduate,,308284,249306,14874,360,,Urban,N
LP001095,Male,No,0,Graduate,No,234358,0,5476,360,1,Urban,N
LP001097,Male,No,1,Graduate,Yes,347208,0,7844,360,1,Rural,N
LP001098,Male,Yes,0,Graduate,No,259000,123358,8436,360,1,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,925000,222000,23680,360,1,Rural,N
LP001106,Male,Yes,0,Graduate,No,168350,152958,0,360,1,Urban,Y
LP001109,Male,Yes,0,Graduate,No,135272,98420,7400,,0,Urban,N
LP001112,Female,Yes,0,Graduate,No,271358,107966,10656,360,1,Semiurban,Y
LP001114,Male,No,0,Graduate,No,308284,533540,13616,360,1,Urban,Y
LP001116,Male,No,0,Not Graduate,No,277352,123432,8140,360,1,Semiurban,Y
LP001119,Male,No,0,Graduate,No,266400,0,5920,360,1,Urban,N
LP001120,Male,No,0,Graduate,No,133200,89762,3478,360,1,Urban,Y
LP001123,Male,Yes,0,Graduate,No,177600,0,5550,360,,Urban,Y
LP001131,Male,Yes,0,Graduate,No,291634,172864,9916,360,1,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,347430,0,7104,,1,Urban,Y
LP001137,Female,No,0,Graduate,No,252340,0,6512,,1,Urban,Y
LP001138,Male,Yes,1,Graduate,No,418026,0,3256,360,1,Urban,Y
LP001144,Male,Yes,0,Graduate,No,430754,0,10656,360,1,Urban,Y
LP001146,Female,Yes,0,Graduate,No,195730,254560,8880,360,0,Urban,N
LP001151,Female,No,0,Graduate,No,296000,168350,10656,360,1,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,142672,121656,7400,360,1,Semiurban,Y
LP001157,Female,No,0,Graduate,No,228364,0,8880,360,1,Semiurban,Y
LP001164,Female,No,0,Graduate,No,313020,0,8288,360,1,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,341584,0,9916,360,1,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,851000,0,21164,360,0,Urban,N
LP001194,Male,Yes,2,Graduate,No,200392,86358,7178,360,1,Semiurban,Y
